               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046595,            0.013849,                   0,             0.71814,              0.8625,             0.81762,             0.38965,            0.045388,           0.0083811,                   0,           0.0069705,           0.0069705,           0.0095705
                  39,            0.049356,            0.014609,                   0,             0.82349,             0.87478,             0.93655,              0.5712,            0.034466,           0.0081582,                   0,           0.0070173,           0.0070173,           0.0071173
                  40,            0.045339,            0.016626,                   0,             0.92865,               0.825,             0.94553,             0.51474,            0.034968,            0.008219,                   0,           0.0068906,           0.0068906,           0.0068906
                  41,            0.041762,            0.018619,                   0,             0.60623,              0.8875,             0.74074,              0.2939,            0.045564,           0.0075592,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.049685,            0.018699,                   0,              0.9005,              0.7875,             0.90843,             0.41462,            0.038848,           0.0079069,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.038746,            0.013523,                   0,             0.78133,                0.85,             0.89612,             0.51248,             0.03263,           0.0080673,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.042488,            0.013387,                   0,             0.87372,               0.875,             0.88838,             0.39566,            0.041525,           0.0075464,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.043292,            0.014445,                   0,             0.78705,             0.92399,             0.91249,              0.5096,            0.039033,           0.0072471,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,             0.04224,             0.01353,                   0,             0.97156,              0.8542,              0.9628,             0.56699,            0.037232,           0.0073488,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.040391,            0.013213,                   0,             0.74955,             0.93528,             0.92377,             0.55728,            0.037446,           0.0075477,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.038253,            0.015563,                   0,             0.86045,             0.92492,              0.9578,               0.601,            0.032326,           0.0076264,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.037393,            0.012876,                   0,             0.93588,             0.91225,             0.96799,             0.69757,            0.029014,           0.0074588,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.034498,            0.013158,                   0,             0.98625,              0.9125,             0.98092,             0.67041,            0.027852,           0.0074062,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031174,            0.011649,                   0,             0.98701,             0.94996,             0.98772,             0.65647,            0.026556,           0.0072601,                   0,              0.0055,              0.0055,              0.0055
                  52,             0.03339,            0.015559,                   0,             0.98699,                0.95,             0.98937,             0.48882,            0.030548,           0.0071101,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.035175,            0.011178,                   0,             0.99995,               0.975,             0.99439,             0.62523,            0.029385,           0.0067223,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.035434,            0.015055,                   0,             0.97402,             0.93734,               0.983,             0.54413,             0.02768,           0.0067236,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.032494,            0.015124,                   0,             0.98759,                   1,             0.99475,             0.68534,            0.025305,           0.0066316,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.030254,             0.01414,                   0,             0.96365,                   1,             0.99248,             0.69034,            0.025329,           0.0067431,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.029947,            0.015664,                   0,             0.99999,                   1,               0.995,             0.71585,            0.023653,           0.0064859,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.033843,            0.015501,                   0,             0.95236,                   1,             0.98863,             0.54214,            0.033645,            0.006726,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.036704,            0.012404,                   0,                   1,             0.99998,               0.995,              0.6615,            0.024716,           0.0066379,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.031467,            0.011317,                   0,             0.98765,                   1,             0.99488,             0.64207,            0.027969,           0.0066034,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.029577,            0.012771,                   0,             0.99998,              0.9875,             0.99464,             0.68769,             0.02663,           0.0068607,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.028379,            0.013554,                   0,                   1,             0.99999,               0.995,             0.73159,            0.022808,           0.0068022,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027943,            0.015132,                   0,                   1,              0.9875,             0.99488,             0.67033,            0.025757,           0.0066271,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.025896,            0.015228,                   0,             0.99999,              0.9875,             0.99476,             0.74344,            0.020942,           0.0064881,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026947,             0.01124,                   0,             0.99999,              0.9875,             0.99476,             0.65645,            0.023456,           0.0064631,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.027785,            0.013203,                   0,                   1,             0.99997,               0.995,             0.72821,            0.022238,           0.0063319,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.027951,            0.010892,                   0,             0.98765,             0.99994,             0.99488,             0.73782,            0.020285,           0.0062498,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.022708,            0.010934,                   0,                   1,             0.99998,               0.995,             0.72287,            0.021153,           0.0063776,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024383,            0.010952,                   0,                   1,                   1,               0.995,             0.76935,            0.019558,           0.0062095,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,              0.0222,            0.011394,                   0,             0.99999,                   1,               0.995,             0.75656,            0.020973,           0.0061148,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022494,            0.011372,                   0,                   1,                   1,               0.995,             0.77938,            0.020212,           0.0060005,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.024148,            0.011775,                   0,                   1,             0.99998,               0.995,             0.73738,            0.019894,           0.0060819,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.020279,            0.010026,                   0,             0.99996,                   1,               0.995,             0.78507,            0.018801,           0.0058986,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.020898,           0.0087293,                   0,                   1,             0.99995,               0.995,             0.73501,            0.019777,           0.0060186,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021114,            0.011139,                   0,                   1,             0.99997,               0.995,             0.76739,            0.018686,           0.0058848,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.019426,           0.0076344,                   0,                   1,             0.99995,               0.995,              0.7673,            0.019346,            0.005909,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.020549,            0.009956,                   0,                   1,             0.99995,               0.995,             0.77526,            0.018829,             0.00593,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.022431,            0.012351,                   0,                   1,                   1,               0.995,             0.74398,            0.019328,           0.0059812,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021689,            0.012493,                   0,                   1,             0.99998,               0.995,             0.77018,            0.018679,           0.0058992,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.020723,            0.014315,                   0,                   1,             0.99996,               0.995,             0.76562,            0.018576,           0.0059032,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.018652,            0.010006,                   0,                   1,             0.99998,               0.995,             0.77431,             0.01939,           0.0058862,                   0,           0.0018594,           0.0018594,           0.0018594
